WKT;id
"POINT (411454.707319627 5655781.50788148)";
"POINT (411402.30259556 5655599.36330657)";
"POINT (411346.590777256 5655502.6943981)";
"POINT (411350.661047087 5655421.03460962)";
"POINT (411307.414430139 5655308.59340556)";
"POINT (411234.149573191 5655106.0974815)";
