WKT;id
"POINT (411454.707319627 5655781.50788148)";
"POINT (411436.39110539 5655717.90991538)";
"POINT (411355 5655490.35216894)";
"POINT (411318.098888443 5655357.43664352)";
"POINT (411307.414430139 5655308.59340556)";
"POINT (411234.149573191 5655106.0974815)";
